Episode;StepsNeeded
1;172
2;106
3;99
4;516
5;104
6;128
7;68
8;100
9;77
10;716
11;164
12;104
13;462
14;83
15;78
16;158
17;114
18;93
19;506
20;101
21;180
22;411
23;112
24;152
25;350
26;108
27;59
28;86
29;109
30;85
31;82
32;188
33;84
34;100
35;87
36;161
37;194
38;328
39;500
40;178
