Episode;StepsNeeded
1;370
2;300
3;222
4;262
5;223
6;181
7;176
8;464
9;366
10;108
11;146
12;390
13;217
14;328
15;84
16;283
17;358
18;172
19;306
20;412
21;501
22;224
23;159
24;168
25;206
26;239
27;252
28;67
29;308
30;70
31;158
32;198
33;122
34;372
35;486
36;255
37;78
38;507
39;117
40;164
