Episode;StepsNeeded
1;254
2;163
3;184
4;204
5;158
6;792
7;120
8;1464
9;407
10;135
11;298
12;54
13;496
14;354
15;520
16;751
17;211
18;391
19;445
20;251
21;350
22;94
23;38
24;453
25;180
26;179
27;46
28;267
29;86
30;631
31;1358
32;69
33;268
34;120
35;250
36;46
37;96
38;91
39;63
40;128
