Episode;StepsNeeded
1;1878
2;666
3;681
4;1415
5;745
6;2074
7;636
8;1028
9;839
10;869
11;892
12;1842
13;1861
14;987
15;443
16;502
17;1355
18;2223
19;1517
20;1024
21;392
22;4512
23;1408
24;661
25;999
26;717
27;995
28;881
29;478
30;1178
31;427
32;650
33;1223
34;983
35;3364
36;1904
37;1427
38;440
39;1331
40;1190
41;2757
42;1737
43;982
44;667
45;479
46;1327
47;899
48;1490
49;1216
50;1124
