Episode;StepsNeeded
1;1570
2;1835
3;1105
4;1241
5;3170
6;1346
7;2111
8;1955
9;2199
10;1670
11;2885
12;1837
13;2288
14;1575
15;1125
16;1192
17;1282
18;1946
19;1390
20;1165
21;1491
22;2913
23;1739
24;1308
25;1519
26;1888
27;1102
28;3141
29;1508
30;1241
31;2629
32;2924
33;1766
34;1979
35;1278
36;1425
37;939
38;1397
39;2407
40;1487
41;1281
42;1769
43;1365
44;1264
45;1184
46;1738
47;2158
48;1943
49;2103
50;1987
