Episode;StepsNeeded
1;116
2;672
3;278
4;88
5;210
6;82
7;220
8;130
9;219
10;198
11;63
12;82
13;116
14;272
15;306
16;167
17;176
18;98
19;82
20;207
21;493
22;147
23;68
24;272
25;68
26;62
27;254
28;148
29;101
30;150
31;88
32;80
33;278
34;168
35;196
36;110
37;191
38;65
39;66
40;80
