Episode;StepsNeeded
1;2310
2;1344
3;3085
4;1025
5;1717
6;3001
7;1872
8;2499
9;2183
10;3819
11;2061
12;1135
13;2494
14;1812
15;3225
16;1107
17;2008
18;1709
19;1145
20;2150
21;2622
22;3159
23;3898
24;2959
25;1368
26;1238
27;1836
28;1540
29;2776
30;2984
31;1912
32;2120
33;1535
34;1218
35;1394
36;2361
37;3490
38;2035
39;3339
40;1794
41;2862
42;1717
43;4245
44;2066
45;1241
46;1690
47;1524
48;1306
49;2413
50;1979
