Episode;StepsNeeded
1;458
2;392
3;362
4;512
5;692
6;218
7;367
8;300
9;267
10;77
11;426
12;296
13;265
14;58
15;112
16;250
17;264
18;212
19;136
20;106
21;68
22;106
23;104
24;342
25;664
26;259
27;224
28;76
29;95
30;426
31;234
32;148
33;958
34;112
35;66
36;174
37;93
38;206
39;154
40;182
