Episode;StepsNeeded
1;1378
2;1096
3;794
4;1529
5;1774
6;1530
7;1575
8;1650
9;1477
10;1011
11;3397
12;1210
13;1957
14;594
15;1704
16;1089
17;2001
18;964
19;728
20;1034
21;1595
22;659
23;2282
24;439
25;1356
26;1667
27;3786
28;1501
29;849
30;1210
31;1369
32;784
33;631
34;878
35;801
36;1465
37;681
38;964
39;1367
40;1390
41;1381
42;1149
43;1487
44;599
45;1504
46;1106
47;1489
48;951
49;992
50;3068
